A00,Cólera
D732,Esplenomegalia congestiva crônica
D733,Abscesso baço
D734,Cisto baço
D735,Infarto baço
D738,Outras doenças baço
D739,Doença não especificada baço
D74,Metemoglobinemia
D740,Metemoglobinemia congênita
D748,Outras metemoglobinemias
D749,Metemoglobinemia não especificada
D75,Outras doenças sangue órgãos hematopoéticos
D750,Eritrocitose familiar
D751,Policitemia secundária
D752,Trombocitose essencial
D758,Outras doenças especificadas sangue órgãos hematopoéticos
D759,Doença não especificada sangue órgãos hematopoéticos
D76,Algumas doenças que envolvem o tecido linforreticular o sistema reticulohistiocítico
D760,Histiocitose células Langerhans não classificadas outra parte
D761,Linfohistiocitose hemofagocítica
D762,Síndrome hematofagocítica associada à infecção
D763,Outras síndromes histiocíticas
D77,Outros transtornos sangue órgãos hematopoéticos doenças classificadas outra parte
D80,Imunodeficiência predominância defeitos anticorpos
D800,Hipogamaglobulinemia hereditária
D801,Hipogamaglobulinemia não familiar
D802,Deficiência seletiva imunoglobulina A [IgA]
D803,Deficiência seletiva subclasses imunoglobulina G [IgG]
D804,Deficiência seletiva imunoglobulina M [IgM]
D805,Imunodeficiência aumento imunoglobulina M [IgM]
D806,Deficiência anticorpos imunoglobulinas próximas normal hiperimunoglobulinemia
D807,Hipogamaglobulinemia transitória infância
D808,Outras imunodeficiências predominância defeitos anticorpos
D809,Imunodeficiência não especificada predominância defeitos anticorpos
D81,Deficiências imunitárias combinadas
D810,Imunodeficiência combinada grave [SCID] disgenesia reticular
D811,Imunodeficiência combinada grave [SCID] números baixos células T B
D812,Imunodeficiência combinada grave [SCID] números baixos normais células B
D813,Deficiência adenosina-deaminase [ADA]
D814,Síndrome Nezelof
D815,Deficiência purina-nucleosídeo fosforilase [PNP]
D816,Deficiência major classe I complexo histocompatibilidade
D817,Deficiência major classe II complexo histocompatibilidade
D818,Outras deficiências imunitárias combinadas
D819,Deficiências imunitárias combinadas não especificadas
"D82,""Imunodeficiência associada outros defeitos """"major"""""""
D820,Síndrome Wiskott-Aldrich
D821,Síndrome Di George
D822,Imunodeficiência encurtamento membros
D823,Imunodeficiência que se segue à resposta hereditária defeituosa vírus Epstein-Barr (EB)
D824,Síndrome hiperimunoglobulina E [IgE]
"D828,""Imunodeficiências associadas outros defeitos """"major"""" especificados"""
"D829,""Imunodeficiência associada defeitos """"major"""" não especificados"""
D83,Imunodeficiência comum variável
D830,Imunodeficiência comum variável predominância anormalidades número função células B
D831,Imunodeficiência comum variável predominância transtornos imunorregulatórios células T
D832,Imunodeficiência comum variável auto-anticorpos às células B T
D838,Outras imunodeficiências comuns variáveis
D839,Imunodeficiência comum variável não especificada
D84,Outras imunodeficiências
D840,Defeito antígeno-1 função linfócito [LFA-1]
D841,Defeitos no sistema complemento
D848,Outras imunodeficiências especificadas
D849,Imunodeficiência não especificada
D86,Sarcoidose
D860,Sarcoidose pulmão
D861,Sarcoidose gânglios linfáticos
D862,Sarcoidose pulmão sarcoidose gânglios linfáticos
D863,Sarcoidose pele
D868,Sarcoidose outros locais especificados locais combinados
D869,Sarcoidose não especificada
D89,Outros transtornos que comprometem o mecanismo imunitário não classificados outra parte
D890,Hipergamaglobulinemia policlonal
D891,Crioglobulinemia
D892,Hipergamaglobulinemia não especificada
D898,Outros transtornos especificados que comprometem o mecanismo imunitário não classificados outra parte
D899,Transtornos não especificados que comprometem o mecanismo imunitário
E00,Síndrome deficiência congênita iodo
E000,Síndrome deficiência congênita iodo tipo neurológico
E001,Síndrome deficiência congênita iodo tipo mixedematoso
E002,Síndrome deficiência congênita iodo tipo misto
E009,Síndrome deficiência congênita iodo
E01,Transtornos tireoidianos afecções associadas
E010,Bócio (endêmico) difuso deficiência iodo
E011,Bócio (endêmico) multinodular deficiência iodo
E012,Bócio (endêmico) não especificado
E018,Outros transtornos tireoidianos afecções associadas
E02,Hipotireoidismo subclínico deficiência iodo
E03,Outros hipotireoidismos
E030,Hipotireoidismo congênito bócio difuso
E031,Hipotireoidismo congênito bócio
E032,Hipotireoidismo devido medicamentos outras substâncias exógenas
E033,Hipotireoidismo pós-infeccioso
E034,Atrofia (adquirida) tireóide
E035,Coma mixedematoso
E038,Outros hipotireoidismos especificados
E039,Hipotireoidismo não especificado
E04,Outros bócios não-tóxicos
E040,Bócio não-tóxico difuso
E041,Bócio não-tóxico uninodular
E042,Bócio não-tóxico multinodular
E048,Outro bócio não-tóxico especificado
E049,Bócio não-tóxico
E05,Tireotoxicose [hipertireoidismo]
E050,Tireotoxicose bócio difuso
E051,Tireotoxicose bócio tóxico uninodular
E052,Tireotoxicose bócio tóxico multinodular
E053,Tireotoxicose causada tecido tireoidiano ectópico
E054,Tireotoxicose factícia
"E055,""Crise """"tempestade"""" tireotóxica"""
E058,Outras tireotoxicoses
E059,Tireotoxicose não especificada
E06,Tireoidite
E060,Tireoidite aguda
E061,Tireoidite subaguda
E062,Tireoidite crônica tireotoxicose transitória
E063,Tireoidite auto-imune
E064,Tireoidite induzida droga
E065,Outras tireoidites crônicas
E069,Tireoidite não especificada
E07,Outros transtornos tireóide
E070,Hipersecreção calcitonina
E071,Bócio disormonogênico
E078,Outros transtornos especificados tireóide
E079,Transtorno não especificado tireóide
E10,Diabetes mellitus insulino-dependente
E100,Diabetes mellitus insulino-dependente - coma
E101,Diabetes mellitus insulino-dependente - cetoacidose
E102,Diabetes mellitus insulino-dependente - complicações renais
E103,Diabetes mellitus insulino-dependente - complicações oftálmicas
E104,Diabetes mellitus insulino-dependente - complicações neurológicas
E105,Diabetes mellitus insulino-dependente - complicações circulatórias periféricas
E106,Diabetes mellitus insulino-dependente - outras complicações especificadas
E107,Diabetes mellitus insulino-dependente - complicações múltiplas
E108,Diabetes mellitus insulino-dependente - complicações não especificadas
E109,Diabetes mellitus insulino-dependente - complicações
E11,Diabetes mellitus não-insulino-dependente
E110,Diabetes mellitus não-insulino-dependente - coma
E111,Diabetes mellitus não-insulino-dependente - cetoacidose
E112,Diabetes mellitus não-insulino-dependente - complicações renais
E113,Diabetes mellitus não-insulino-dependente - complicações oftálmicas
E114,Diabetes mellitus não-insulino-dependente - complicações neurológicas
E115,Diabetes mellitus não-insulino-dependente - complicações circulatórias periféricas
E116,Diabetes mellitus não-insulino-dependente - outras complicações especificadas
E117,Diabetes mellitus não-insulino-dependente - complicações múltiplas
E118,Diabetes mellitus não-insulino-dependente - complicações não especificadas
E119,Diabetes mellitus não-insulino-dependente - complicações
E12,Diabetes mellitus relacionado desnutrição
E120,Diabetes mellitus relacionado desnutrição - coma
E121,Diabetes mellitus relacionado desnutrição - cetoacidose
E122,Diabetes mellitus relacionado desnutrição - complicações renais
E123,Diabetes mellitus relacionado desnutrição - complicações oftálmicas
E124,Diabetes mellitus relacionado desnutrição - complicações neurológicas
E125,Diabetes mellitus relacionado desnutrição - complicações circulatórias periféricas
E126,Diabetes mellitus relacionado desnutrição - outras complicações especificadas
E127,Diabetes mellitus relacionado desnutrição - complicações múltiplas
E128,Diabetes mellitus relacionado desnutrição - complicações não especificadas
E129,Diabetes mellitus relacionado desnutrição - complicações
E13,Outros tipos especificados diabetes mellitus
E130,Outros tipos especificados diabetes mellitus - coma
E131,Outros tipos especificados diabetes mellitus - cetoacidose
E132,Outros tipos especificados diabetes mellitus - complicações renais
E133,Outros tipos especificados diabetes mellitus - complicações oftálmicas
E134,Outros tipos especificados diabetes mellitus - complicações neurológicas
E135,Outros tipos especificados diabetes mellitus - complicações circulatórias periféricas
E136,Outros tipos especificados diabetes mellitus - outras complicações especificadas
E137,Outros tipos especificados diabetes mellitus - complicações múltiplas
E138,Outros tipos especificados diabetes mellitus - complicações não especificadas
E139,Outros tipos especificados diabetes mellitus - complicações
E14,Diabetes mellitus não especificado
E140,Diabetes mellitus não especificado - coma
E141,Diabetes mellitus não especificado - cetoacidose
E142,Diabetes mellitus não especificado - complicações renais
E143,Diabetes mellitus não especificado - complicações oftálmicas
E144,Diabetes mellitus não especificado - complicações neurológicas
E145,Diabetes mellitus não especificado - complicações circulatórias periféricas
E146,Diabetes mellitus não especificado - outras complicações especificadas
E147,Diabetes mellitus não especificado - complicações múltiplas
E148,Diabetes mellitus não especificado - complicações não especificadas
E149,Diabetes mellitus não especificado - complicações
E15,Coma hipoglicêmico não-diabético
E16,Outros transtornos secreção pancreática interna
E160,Hipoglicemia induzida droga coma
E161,Outra hipoglicemia
E162,Hipoglicemia não especificada
E163,Aumento secreção glucagon
E164,Secreção anormal gastrina
E168,Outros transtornos especificados secreção pancreática interna
E169,Transtorno não especificado secreção pancreática interna
E20,Hipoparatireoidismo
E200,Hipoparatireoidismo idiopático
E201,Pseudohipoparatireoidismo
E208,Outro hipoparatireoidismo
E209,Hipoparatireoidismo não especificado
E21,Hiperparatireoidismo outros transtornos glândula paratireóide
E210,Hiperparatireoidismo primário
E211,Hiperparatireoidismo secundário não classificado outra parte
E212,Outro hiperparatireoidismo
E213,Hiperparatireoidismo não especificado
E214,Outros transtornos especificados glândula paratireóide
E215,Transtorno não especificado glândula paratireóide
E22,Hiperfunção hipófise
E220,Acromegalia gigantismo hipofisário
E221,Hiperprolactinemia
E222,Síndrome secreção inadequada hormônio antidiurético
E228,Outras hiperfunções hipófise
E229,Hiperfunção não especificada hipófise
E23,Hipofunção outros transtornos hipófise
E230,Hipopituitarismo
E231,Hipopituitarismo induzido droga
E232,Diabetes insípido
E233,Disfunção hipotalâmica não classificada outra parte
E236,Outros transtornos hipófise
E237,Transtorno não especificado hipófise
E24,Síndrome Cushing
E240,Síndrome Cushing dependente hipófise
E241,Síndrome Nelson
E242,Síndrome Cushing induzida droga
E243,Síndrome ACTH ectópico
E244,Síndrome pseudo-Cushing induzida  álcool
E248,Outra síndrome Cushing
E249,Síndrome Cushing não especificada
E25,Transtornos adrenogenitais
E250,Transtornos adrenogenitais congênitos associados à deficiência enzimática
E258,Outros transtornos adrenogenitais
E259,Transtorno adrenogenital não especificado
E26,Hiperaldosteronismo
E260,Hiperaldosteronismo primário
E261,Hiperaldosteronismo secundário
E268,Outro hiperaldosteronismo
E269,Hiperaldosteronismo não especificado
E27,Outros transtornos glândula supra-renal
E270,Outros excessos atividade adrenocortical
E271,Insuficiência adrenocortical primária
E272,Crise addisoniana
E273,Insuficiência adrenocortical induzida drogas
E274,Outras insuficiências adrenocorticais as não especificadas
E275,Hiperfunção adrenomedular
E278,Outros transtornos especificados supra-renal
E279,Transtorno não especificado supra-renal
E28,Disfunção ovariana
E280,Excesso estrógeno
E281,Excesso andrógenos
E282,Síndrome ovário policístico
E283,Insuficiência ovariana primária
E288,Outra disfunção ovariana
E289,Disfunção ovariana não especificada
E29,Disfunção testicular
E290,Hiperfunção testicular
E291,Hipofunção testicular
E298,Outra disfunção testicular
E299,Disfunção testicular não especificada
E30,Transtornos puberdade não classificados outra parte
E300,Puberdade retardada
E301,Puberdade precoce
E308,Outros transtornos puberdade
E309,Transtorno não especificado puberdade
E31,Disfunção poliglandular
E310,Insuficiência poliglandular auto-imune
E311,Hiperfunção poliglandular
E318,Outra disfunção poliglandular
E319,Disfunção poliglandular não especificada
E32,Doenças timo
E320,Hiperplasia persistente timo
E321,Abscesso timo
E328,Outras doenças timo
E329,Doença timo não especificada
E34,Outros transtornos endócrinos
E340,Síndrome carcinóide
E341,Outra hipersecreção hormônios intestinais
E342,Secreção hormonal ectópica
E343,Nanismo
E344,Alta estatura constitucional
E345,Síndrome resistência andrógenos
E348,Outros transtornos endócrinos especificados
E349,Transtorno endócrino não especificado
E35,Transtornos glândulas endócrinas doenças classificadas outra parte
E350,Transtornos glândula tireóide doenças classificadas outra parte
E351,Transtornos supra-renais doenças classificadas outra parte
E358,Transtornos outras glândulas endócrinas doenças classificadas outra parte
E40,Kwashiorkor
E41,Marasmo nutricional
E42,Kwashiorkor marasmático
E43,Desnutrição protéico-calórica grave não especificada
E44,Desnutrição protéico-calórica graus moderado leve
E440,Desnutrição protéico-calórica moderada
E441,Desnutrição protéico-calórica leve
E45,Atraso desenvolvimento devido à desnutrição protéico-calórica
E46,Desnutrição protéico-calórica não especificada
E50,Deficiência vitamina A
E500,Deficiência vitamina A xerose conjuntival
E501,Deficiência vitamina A mancha Bitot xerose conjuntival
E502,Deficiência vitamina A xerose córnea
